Data on blood pressures measured by both a physcian and a nurse on the same visit,,,
Not a controlled experiment since the nurse's bp was measured first.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
NurseSbp,NurseDbp,PhysSbp,PhysDbp
152,90,140,72
188,92,200,84
118,64,100,75
184,110,156,96
146,70,168,78
172,94,194,102
144,90,156,86
148,82,150,90
114,78,136,74
132,80,124,84
128,90,132,88
144,80,146,66
134,82,150,84
170,90,184,90
132,80,146,86
134,96,142,92
118,74,126,80
124,78,146,86
122,78,150,84
160,88,144,88
154,76,180,92
148,80,144,84
148,84,150,88
136,78,136,82
122,80,132,80
144,76,148,78
130,88,128,84
142,70,130,70
152,100,148,86
148,80,146,82
114,72,140,94
142,86,146,80
154,94,158,92
132,80,116,74
102,74,120,72
134,76,138,66
148,88,144,94
214,98,206,104
108,70,154,80
152,94,170,100
144,88,182,98
112,74,116,64
126,96,142,92
144,88,160,94
166,90,160,82
148,70,180,82
126,78,138,88
142,74,148,90
148,86,140,80
132,86,152,86
178,80,166,82
140,72,156,86
98,54,110,62
110,90,140,80
166,88,164,72
142,80,132,84
132,62,130,74
156,82,166,84
138,68,148,74
114,80,116,80
168,94,188,92
142,86,162,94
130,92,142,78
102,54,116,64
120,84,124,86
148,100,140,84
142,80,142,84
94,70,106,58
108,74,128,74
130,90,140,70
146,78,154,80
134,88,148,88
152,86,144,82
148,88,128,84
122,80,126,74
128,72,136,70
132,86,134,80
162,80,182,84
122,90,121,78
140,70,146,78
88,60,110,60
166,84,164,86
120,62,124,60
132,90,122,88
168,92,144,80
130,72,114,62
138,76,146,76
106,66,114,70
100,58,98,58
102,70,158,80
202,104,188,92
126,70,138,78
124,82,110,82
220,108,242,124
96,52,134,74
190,108,198,112
112,68,122,62
140,80,124,76
152,84,144,80
142,88,152,84
158,104,166,88
142,90,156,94
132,68,126,70
128,72,128,74
158,74,168,84
140,92,166,74
154,110,200,104
118,68,126,70
112,72,146,68
128,68,156,90
118,70,126,68
110,70,122,62
122,72,114,66
174,92,178,92
120,78,150,84
122,64,134,70
142,96,138,84
172,100,196,86
126,70,136,66
122,80,162,84
154,78,164,80
158,84,162,76
124,70,148,78
112,74,114,72
182,96,158,98
150,90,150,78
116,70,136,78
138,62,144,66
132,84,136,88
170,112,158,100
156,68,154,70
154,112,240,100
194,110,178,104
154,84,156,84
122,72,122,64
118,78,140,80
162,102,172,98
98,56,114,60
208,94,194,96
168,88,174,94
114,80,108,66
132,68,134,80
118,58,112,64
122,76,122,80
186,86,190,94
132,64,130,66
166,92,156,86
158,70,160,74
158,90,216,110
138,86,146,94
98,62,96,60
112,82,122,78
122,88,118,82
124,72,148,80
152,88,162,90
166,92,136,90
154,100,142,80
150,74,152,84
136,70,162,74
132,92,140,98
108,70,104,62
110,70,142,88
154,90,168,92
122,60,134,66
128,74,136,88
132,78,150,72
188,102,210,104
102,80,104,60
184,80,172,80
126,70,132,68
198,88,192,88
122,68,106,56
130,76,132,68
140,80,162,80
100,58,108,64
128,70,142,60
136,82,156,84
112,62,134,72
134,70,100,72
130,76,134,88
122,78,134,86
144,84,146,92
128,86,136,82
124,70,118,66
128,60,130,66
166,76,166,86
132,80,146,76
148,92,138,94
128,62,122,62
120,92,140,72
172,80,168,82
162,100,186,94
136,90,148,96
144,106,136,88
140,90,140,80
134,86,118,70
128,80,138,68
146,86,130,74
134,76,110,62
118,84,122,82
180,88,194,86
118,78,116,84
110,58,114,64
162,88,164,82
128,70,118,68
144,76,138,80
192,96,170,84
104,56,96,56
118,84,138,82
182,102,184,90
148,88,144,74
126,68,120,68
106,68,118,74
154,100,170,96
134,86,162,88
128,82,142,84
158,96,176,102
162,80,174,92
154,84,152,80
114,70,130,76
112,80,120,80
104,68,124,70
114,70,114,70
162,96,150,90
172,98,148,90
126,80,124,70
228,120,240,124
168,88,172,96
164,84,150,84
124,70,124,76
146,88,154,78
142,90,136,82
118,80,150,84
150,94,162,84
128,80,140,80
130,80,140,76
150,90,142,90
104,80,124,68
162,60,170,76
182,104,162,96
128,70,124,74
122,80,132,96
158,90,176,86
148,84,124,78
144,100,150,88
142,58,112,66
102,72,138,70
160,90,168,86
144,84,130,70
152,100,180,110
114,68,110,70
174,98,204,112
114,64,146,76
128,70,136,78
152,96,154,98
148,76,150,84
164,92,180,94
132,78,126,66
156,90,150,72
102,54,100,56
156,92,142,96
128,82,126,86
132,80,146,78
192,96,190,90
146,88,132,81
110,70,132,70
122,84,114,84
148,84,138,68
104,68,114,70
190,108,194,104
140,82,168,84
150,90,164,104
140,86,152,90
132,88,120,68
136,80,134,82
152,80,160,90
192,120,192,100
138,66,138,64
158,76,162,68
162,92,156,104
144,80,164,80
180,88,170,88
158,86,164,88
112,78,120,76
130,90,142,96
118,72,132,74
168,90,166,92
124,72,138,80
142,100,132,92
112,82,120,74
158,74,176,76
188,88,192,100
116,68,120,62
150,82,160,86
108,66,122,74
164,90,152,70
94,54,122,58
170,68,186,82
112,56,120,74
162,82,132,80
118,64,120,70
118,62,118,58
154,90,146,76
132,80,130,86
100,60,106,66
114,66,124,60
104,58,114,62
108,70,124,72
182,98,164,90
114,72,134,58
190,94,196,106
164,102,172,94
100,70,132,84
188,70,194,80
102,62,120,66
142,92,138,80
128,80,144,76
146,100,130,92
150,88,146,88
102,62,112,82
124,68,132,70
140,82,162,86
132,86,122,86
126,82,156,90
116,80,128,74
130,80,138,74
122,80,136,86
128,84,148,98
186,96,180,100
116,68,122,78
168,88,176,84
158,94,180,100
154,82,162,82
122,80,140,84
124,76,148,92
158,90,166,74
164,110,180,106
96,54,106,60
134,78,116,84
132,90,154,88
158,80,160,92
102,64,138,74
128,68,132,62
144,94,174,110
122,70,140,82
120,82,158,96
156,96,150,94
132,70,144,80
204,100,164,96
114,84,142,88
120,70,138,86
142,74,152,82
182,110,190,116
178,98,178,106
124,82,130,90
180,112,176,104
96,56,100,58
120,62,138,76
202,84,174,80
148,80,144,74
132,80,134,60
120,70,114,78
128,86,150,92
180,100,194,102
162,100,154,88
112,60,138,76
170,110,170,110
88,66,110,66
132,72,130,80
150,100,152,100
166,92,154,84
108,64,112,60
124,86,148,90
144,102,172,94
130,78,114,60
160,82,156,74
152,78,164,84
132,90,126,90
118,56,106,56
174,70,210,80
134,70,158,76
126,74,136,66
128,72,122,76
94,62,102,56
174,88,168,92
164,98,164,94
122,70,128,68
118,68,130,70
96,74,114,64
122,82,164,74
102,76,106,78
108,72,106,70
130,78,146,76
156,84,158,88
112,70,126,60
96,76,148,86
180,90,166,86
100,52,114,58
178,94,166,96
146,78,160,54
80,62,114,76
146,88,134,85
170,80,164,90
132,78,152,86
170,116,180,110
110,70,114,60
132,82,146,76
108,64,114,76
132,86,126,84
128,72,138,80
154,86,154,80
108,70,116,70
182,88,176,86
128,78,126,74
92,54,100,52
174,100,149,89
92,72,102,60
168,102,162,90
138,76,148,70
132,86,140,96
114,68,112,62
120,80,144,80
136,72,138,78
136,90,118,80
264,130,280,130
100,74,128,74
118,76,110,68
112,64,130,60
164,88,162,82
140,72,138,72
168,102,176,110
122,92,152,74
124,68,124,60
110,72,122,74
130,80,152,86
144,72,158,78
156,70,154,74
138,92,168,100
132,88,156,90
192,80,182,96
90,56,98,58
132,78,150,80
228,92,226,84
122,70,139,75
118,74,116,74
144,88,134,90
152,108,164,80
214,94,194,96
102,62,126,74
160,88,168,96
184,88,172,86
142,90,132,86
148,88,168,94
120,80,116,88
150,88,152,104
136,98,176,92
140,80,154,70
144,78,139,80
108,72,114,82
142,110,152,92
142,80,146,80
122,76,130,78
116,52,114,60
182,78,154,90
110,72,124,80
132,70,135,82
124,72,144,66
136,90,140,80
172,86,168,86
160,82,158,90
156,78,152,84
124,80,126,66
190,92,214,106
150,90,144,92
142,80,134,84
130,72,126,64
132,44,144,54
230,94,210,110
108,70,120,80
134,88,140,100
114,74,120,76
142,88,150,90
162,94,146,88
128,82,174,100
186,110,164,104
134,90,140,78
138,102,130,92
184,82,182,100
128,82,102,84
124,64,124,60
140,90,150,90
160,108,154,102
118,78,148,76
132,74,138,84
146,78,170,88
154,84,136,88
132,80,130,76
110,70,124,80
144,76,194,84
110,80,116,76
132,80,120,80
144,82,164,92
132,80,136,80
132,92,130,92
122,70,152,72
126,68,130,62
152,80,152,78
194,96,192,90
134,72,120,80
142,74,154,78
156,86,160,86
152,92,162,80
146,82,140,86
182,120,178,106
102,68,106,66
150,96,144,102
158,80,158,86
168,94,154,84
138,90,148,84
162,88,164,84
140,72,148,70
130,74,138,84
154,72,138,60
140,70,126,76
104,80,125,80
136,82,138,80
122,72,120,74
158,88,162,94
132,72,140,70
122,86,144,83
102,60,106,54
162,92,162,94
128,70,142,76
130,82,130,94
146,78,142,84
168,86,158,80
144,90,150,80
142,90,156,96
192,112,220,110
144,84,156,84
108,80,124,82
160,106,146,96
104,64,114,70
172,92,180,84
124,72,138,74
130,92,154,90
108,76,120,68
132,72,136,84
198,104,220,96
108,66,120,60
184,112,164,110
144,80,150,76
178,110,158,102
178,94,184,86
136,78,156,88
164,80,164,86
90,64,98,64
148,104,142,96
180,120,188,118
182,124,192,110
122,74,126,76
118,74,122,82
124,86,138,98
128,74,150,68
110,70,102,70
128,72,144,80
158,72,134,64
142,86,136,82
148,84,129,73
160,92,162,94
174,88,168,92
148,84,144,94
132,82,176,94
198,98,200,100
128,78,136,84
122,52,130,56
120,68,120,70
182,94,170,102
116,68,120,72
146,100,170,94
134,98,154,102
174,94,174,96
182,98,190,100
150,94,162,82
124,88,130,70
162,90,190,110
158,90,156,82
120,68,128,76
132,80,130,82
130,86,132,84
138,88,178,98
112,70,136,86
82,60,104,64
164,86,160,96
154,80,139,75
126,78,126,72
146,82,140,80
132,86,140,86
108,64,116,70
108,74,124,84
104,70,114,68
130,88,144,82
108,70,106,76
152,84,128,90
112,68,126,80
158,72,150,90
144,88,154,96
134,82,146,80
194,96,214,92
132,90,126,70
128,70,110,68
120,92,140,76
122,78,148,72
206,80,188,82
158,80,164,88
112,70,108,68
136,78,136,76
138,70,150,72
152,80,172,80
158,80,136,68
142,78,156,96
154,100,134,86
186,84,176,88
142,82,144,82
108,68,132,74
118,80,104,76
124,76,122,70
128,78,134,80
154,76,158,80
112,72,112,64
138,78,130,72
134,84,114,80
122,70,148,60
204,98,214,90
130,78,134,74
132,76,142,82
130,82,134,80
158,90,160,84
148,80,126,80
150,108,154,92
166,94,166,72
112,68,138,64
116,60,114,56
178,90,178,106
142,92,144,90
158,98,174,80
150,96,166,96
122,68,144,84
170,82,156,80
140,74,135,74
144,74,152,82
128,70,122,64
136,80,128,80
118,72,130,68
124,84,134,74
142,68,170,84
188,92,198,104
138,78,144,86
108,78,126,86
122,78,120,76
134,76,140,68
110,68,118,76
130,82,136,80
134,88,130,84
138,96,140,86
172,88,176,94
150,88,136,74
138,78,146,88
132,80,142,86
100,60,114,66
182,88,152,82
102,80,112,70
160,76,158,80
158,96,130,92
124,74,138,72
166,80,170,90
152,98,142,82
108,60,114,78
166,96,158,90
108,74,116,80
132,82,152,88
150,82,150,86
106,68,126,80
154,88,156,82
148,88,146,80
156,78,176,86
162,92,166,88
118,76,124,74
144,90,150,92
134,82,152,84
116,70,126,70
132,78,126,80
142,98,164,98
108,60,130,70
164,84,156,86
110,70,106,70
162,90,158,92
138,82,128,84
142,80,142,80
150,78,162,90
142,78,144,82
126,80,142,86
136,70,154,86
144,82,162,92
96,70,128,76
140,82,124,78
154,84,166,84
108,72,130,80
110,82,134,86
112,76,130,70
122,82,132,76
138,92,130,94
172,90,170,90
142,100,140,92
128,82,140,72
150,80,114,76
164,76,146,68
132,80,142,88
132,88,134,88
168,90,180,80
124,80,110,76
120,88,130,94
168,104,168,94
96,54,122,70
134,62,148,64
150,92,160,100
158,72,150,58
128,98,146,92
132,84,146,96
118,70,124,82
158,90,156,84
108,64,94,74
138,80,142,84
122,78,124,60
144,88,150,80
122,70,124,60
128,70,122,76
130,82,124,70
118,70,116,64
142,82,140,88
168,104,166,110
158,90,142,94
144,78,130,76
102,68,126,70
200,110,230,92
82,50,84,50
164,86,184,92
210,110,200,104
124,80,146,90
124,62,140,68
108,70,120,74
180,92,156,90
158,80,142,84
142,86,162,94
128,76,120,74
150,74,140,82
128,64,136,62
100,80,108,64
122,64,134,66
144,80,142,88
112,56,110,50
134,70,134,82
142,90,142,80
130,82,128,78
132,80,130,64
112,80,126,80
162,90,170,92
158,88,164,92
136,60,136,66
114,80,160,90
160,82,162,88
118,76,116,70
158,90,146,80
144,72,134,74
140,90,138,74
132,76,144,82
142,72,138,78
148,76,144,66
122,88,134,74
136,68,130,78
118,72,142,84
120,72,138,76
112,88,140,76
152,78,180,96
132,90,118,74
158,92,150,90
148,84,146,86
126,72,138,76
132,78,122,64
168,94,190,94
152,84,130,80
110,84,128,76
116,62,112,78
90,66,100,64
182,94,186,96
116,80,116,76
150,98,144,94
122,70,136,72
132,90,174,86
152,80,128,70
134,84,164,76
164,86,160,96
128,82,128,82
130,58,142,56
166,78,162,80
114,66,130,86
132,98,130,92
122,82,144,74
134,82,132,86
106,68,106,70
134,112,154,104
112,72,148,84
138,80,136,76
202,118,242,110
190,92,171,93
108,60,110,70
120,70,128,78
128,78,170,80
112,72,116,82
106,66,104,60
144,78,116,72
130,80,126,80
142,92,150,90
118,64,108,70
128,76,140,86
132,88,138,86
132,90,132,76
108,72,112,84
158,96,162,98
98,60,100,52
138,78,130,92
144,92,156,96
124,74,134,70
152,98,156,104
128,82,126,82
128,90,142,98
112,60,120,56
128,84,124,74
118,92,116,84
156,90,164,90
154,84,162,96
152,88,144,88
132,68,136,70
122,90,134,100
120,78,116,80
108,68,122,76
128,80,152,96
120,82,124,74
148,86,146,76
142,90,134,78
182,120,152,94
132,80,178,96
132,92,132,84
152,92,154,96
118,70,118,71
122,80,124,58
136,82,124,80
156,86,164,80
206,112,202,106
162,82,138,82
124,76,122,76
166,92,176,88
148,80,142,82
122,90,134,90
120,70,116,70
138,84,130,84
94,68,100,56
134,84,148,94
106,66,104,74
108,76,118,80
152,90,144,80
150,62,116,64
128,88,130,88
164,74,174,84
200,102,176,108
142,88,144,90
150,94,148,86
100,80,104,70
162,94,158,99
128,76,136,80
132,70,144,80
124,80,148,88
126,76,114,70
120,70,146,76
118,62,120,72
128,90,120,70
158,92,146,86
104,68,142,78
142,84,124,72
164,92,142,78
150,90,146,76
124,90,124,70
114,80,112,78
112,74,120,82
138,80,152,82
132,68,156,82
154,94,162,108
118,70,122,76
124,80,128,72
112,74,114,78
158,88,124,82
154,90,132,86
100,70,128,64
130,90,136,90
142,82,138,84
122,88,156,88
126,76,114,70
118,84,116,82
156,94,136,84
128,82,132,90
116,70,108,78
108,72,100,62
138,76,124,74
168,96,192,100
82,62,94,66
88,50,96,60
148,88,140,92
168,92,150,84
116,66,110,70
120,80,118,76
156,94,146,86
122,72,124,80
146,98,154,96
132,88,144,90
130,84,120,78
192,120,166,98
130,80,126,74
112,68,132,80
90,56,100,66
138,70,146,74
134,80,124,70
134,88,138,92
144,92,142,94
110,80,130,80
138,98,150,92
100,76,124,64
172,110,166,98
176,108,174,114
122,62,104,60
116,70,128,84
216,112,162,102
154,84,134,76
118,72,116,72
136,86,130,84
122,100,124,76
132,84,132,78
114,70,130,80
114,68,114,68
142,90,126,80
118,58,110,62
132,90,134,84
110,62,126,70
120,82,134,92
170,102,155,95
194,94,196,98
174,120,158,100
120,88,122,78
102,82,106,60
108,68,120,56
124,74,140,88
140,98,148,90
142,102,154,106
132,98,134,94
138,88,128,84
138,82,134,82
102,66,116,80
108,74,120,78
108,68,112,71
118,72,118,76
148,80,144,82
108,72,130,80
100,76,108,78
176,90,170,90
148,78,154,76
92,72,108,70
128,78,138,82
124,70,134,76
174,92,204,86
188,86,196,96
112,72,124,72
92,44,96,68
104,74,112,80
114,60,110,58
178,94,170,92
128,84,140,88
170,100,186,102
202,94,184,94
112,90,130,88
102,60,96,60
106,68,106,76
134,58,140,70
132,72,116,70
132,64,126,72
168,98,180,98
184,110,182,98
126,78,124,72
148,86,154,82
126,82,106,82
126,80,113,68
128,82,144,84
148,96,150,110
128,70,140,74
208,92,210,104
150,94,178,100
118,76,114,72
162,100,184,116
126,78,130,86
150,104,134,98
152,90,164,88
160,94,164,104
128,78,122,84
174,104,166,112
136,80,144,92
132,86,138,86
118,78,132,72
142,108,134,88
108,70,114,80
108,66,140,78
130,70,140,78
130,90,114,70
130,90,128,86
100,68,96,60
138,86,142,96
132,82,148,68
122,80,116,80
146,84,156,96
156,86,144,88
128,70,124,66
136,88,156,92
142,100,142,88
112,80,126,80
150,80,122,92
150,108,138,90
142,92,150,92
138,100,170,98
106,68,94,58
154,98,158,100
128,90,130,96
104,68,110,64
156,98,152,96
142,90,146,90
128,84,124,88
106,80,130,86
128,68,112,68
138,72,124,76
194,90,198,88
108,70,130,84
150,90,156,80
102,72,124,84
122,80,142,88
152,84,158,72
132,90,142,80
126,68,120,66
128,78,126,80
190,108,184,106
142,102,140,100
150,98,152,100
118,68,126,76
142,110,142,86
188,96,192,108
172,92,172,86
154,90,146,76
126,78,134,80
116,70,116,76
154,102,146,98
118,76,130,86
112,70,122,76
152,90,142,95
148,84,146,94
164,100,184,108
128,70,120,76
142,90,118,80
142,60,158,64
120,68,130,78
94,70,124,74
106,70,120,76
130,94,140,84
128,90,140,84
162,78,172,74
170,112,164,102
130,78,120,78
102,80,134,78
112,82,116,78
124,78,118,80
116,76,122,78
128,70,128,78
110,70,110,78
118,78,124,82
146,72,150,76
110,62,120,72
128,86,146,88
104,82,118,80
124,76,130,82
136,100,142,96
160,72,164,66
94,70,126,80
118,74,128,74
150,88,146,84
134,78,126,88
132,82,132,70
124,72,120,74
136,84,134,95
138,72,142,78
132,92,120,78
164,88,152,84
134,70,124,66
118,80,122,72
116,82,128,84
142,76,140,90
126,82,138,86
142,102,148,100
100,82,112,70
132,62,138,68
148,92,150,98
136,90,140,88
140,100,162,104
132,72,124,76
162,92,168,102
98,60,114,70
122,84,130,78
178,88,166,80
92,58,120,70
138,92,134,86
152,68,126,64
102,70,116,86
132,78,130,74
132,88,124,84
154,82,156,82
128,92,144,94
116,86,114,68
104,80,116,80
138,82,130,80
112,72,116,68
130,80,116,82
158,92,154,94
140,86,132,88
148,80,136,76
110,72,110,74
140,88,156,94
182,90,190,96
122,72,128,72
124,84,115,76
120,68,124,64
128,70,122,60
120,84,132,80
192,120,190,124
124,84,124,83
188,114,196,116
116,70,116,74
130,88,134,84
92,62,106,74
122,74,128,80
144,88,134,76
172,94,152,92
