Data on blood pressures measured by both a physcian and a nurse on the same visit,,,
Not a controlled experiment since the nurse's bp was measured first.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
NurseSbp,NurseDbp,PhysSbp,PhysDbp
108,68,134,82
114,80,134,86
130,84,142,92
152,88,148,84
130,84,136,84
138,82,148,90
150,92,130,86
170,100,152,100
126,80,126,86
134,90,148,88
108,70,142,88
100,62,108,60
128,70,134,74
122,80,126,82
122,72,114,68
162,112,166,98
110,66,134,78
132,70,122,68
132,90,130,84
168,110,186,104
176,94,178,102
122,82,138,84
138,88,132,82
140,80,140,86
118,72,136,90
108,64,118,74
116,82,136,86
116,70,112,78
142,74,154,88
138,96,168,104
132,78,132,76
122,72,134,86
138,84,126,80
122,88,140,90
116,86,144,84
168,80,166,76
122,82,120,88
150,90,136,80
138,80,140,74
112,66,130,80
128,72,132,80
92,74,118,84
108,60,110,70
118,82,132,82
114,70,110,70
116,76,132,86
130,98,136,98
192,110,202,118
162,82,164,92
136,84,154,96
150,92,170,90
136,80,164,92
100,80,114,80
122,84,134,84
126,74,126,72
122,80,134,86
108,70,134,68
188,102,198,100
132,82,122,76
162,104,158,104
162,92,168,88
176,90,162,90
170,110,198,104
152,88,138,90
138,80,142,88
134,86,110,78
112,82,130,80
186,92,188,80
156,80,188,86
188,100,184,100
132,92,122,78
142,86,144,92
120,94,132,88
128,78,138,84
156,98,146,90
146,100,134,88
124,92,132,90
112,82,124,80
120,88,140,96
156,98,170,102
106,68,124,92
126,78,116,80
110,60,134,60
122,82,120,76
150,90,152,92
166,110,144,94
116,60,134,68
154,86,156,80
134,100,126,88
108,78,106,78
136,78,124,74
102,60,122,60
122,80,122,76
148,86,138,76
124,86,144,94
126,68,128,68
132,78,146,78
90,72,100,66
118,76,116,82
114,80,118,86
166,92,140,78
114,80,144,88
108,72,106,74
124,84,130,85
138,88,136,82
108,72,106,76
158,94,174,98
118,80,122,82
158,90,140,88
146,94,140,92
112,74,112,66
112,68,108,68
150,92,158,88
118,70,140,84
154,90,160,80
142,88,148,86
142,100,140,78
138,86,146,94
112,76,118,78
132,82,132,86
112,72,124,72
134,90,144,90
140,74,142,90
134,82,156,88
122,84,130,80
194,110,182,124
122,70,120,66
154,102,168,98
138,78,132,82
94,66,114,76
142,88,142,90
104,74,130,94
132,80,136,88
136,88,142,92
128,82,128,82
122,78,134,84
140,88,146,86
136,76,124,76
172,76,154,80
150,82,140,90
122,84,122,72
190,110,172,114
132,102,126,88
160,108,162,100
132,92,154,100
144,52,138,50
114,76,124,80
116,80,160,90
144,94,160,98
102,60,110,60
102,68,124,74
116,70,112,70
118,70,112,74
128,82,114,80
142,90,158,96
152,98,156,90
108,74,134,88
132,82,140,92
150,88,152,84
152,86,140,94
122,90,110,80
92,52,100,68
152,92,154,100
134,82,140,82
118,74,130,70
136,92,142,92
132,72,118,78
144,120,156,116
112,90,116,68
108,88,112,68
94,66,112,74
132,90,150,94
138,86,140,94
134,90,164,94
122,82,140,80
158,88,152,92
144,74,152,90
106,80,114,80
170,110,168,102
142,78,154,74
116,78,142,70
112,76,116,86
130,84,154,90
158,90,156,98
124,78,128,86
118,72,122,82
96,66,104,64
132,84,118,76
130,92,116,90
92,64,122,78
124,70,130,72
110,74,116,74
94,52,120,70
162,108,134,90
138,80,146,84
112,78,126,82
160,100,164,102
140,90,158,96
126,88,110,90
132,84,130,74
114,80,138,82
130,88,130,68
114,84,126,78
112,70,124,72
94,52,102,60
108,68,100,70
154,82,166,90
146,80,188,100
140,80,142,76
134,86,146,84
138,78,134,88
